event,label,format,limit,cumulative,cutoff,
222,2x2x2 Cube,ao5,1:00,no,,
333,3x3x3 Cube,ao5,5:00,no,,
444,4x4x4 Cube,ao5,3:00,no,1:15,
555,5x5x5 Cube,ao5,4:00,no,2:15,
666,6x6x6 Cube,mo3,10:00,no,6:00,
777,7x7x7 Cube,mo3,10:00,no,8:00,
333bf,3x3x3 Blindfolded,mo3,20:00,yes,,
333oh,3x3x3 One-Handed,ao5,2:00,no,0:45,
333ft,3x3x3 With Feet,ao5,8:00,no,3:00,
clock,Clock,ao5,2:00,no,0:45,
minx,Megaminx,ao5,5:00,no,2:30,
pyram,Pyraminx,ao5,1:00,no,,
skewb,Skewb,ao5,1:00,no,,
sq1,Square-1,ao5,2:00,no,1:00,
444bf,4x4x4 Blindfolded,mo3,40:00,yes,,
555bf,5x5x5 Blindfolded,mo3,60:00,yes,,
333mbf,3x3x3 Multi-Blind,mo3,,yes,,
333fm,3x3x3 Fewest Moves,,,,,